,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
461,dimensions,"mark h wilcox, dale n gerding, ian r poxton, ciaran kelly, richard nathan, thomas birch, oliver a cornely, galia rahav, emilio bouza, christine lee, grant jenkin, werner jensen, you-sun kim, junichi yoshida, lori gabryelski, alison pedley, karen eves, robert tipping, dalya guris, nicholas kartsonis, mary-beth dorr",bezlotoxumab for prevention of recurrent clostridium difficile infection,Bezlotoxumab for Prevention of Recurrent Clostridium difficile Infection,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2017,10.1056/nejmoa1602615
462,dimensions,"michel j grothe, sylvia villeneuve, martin dyrba, david bartres-faz, miranka wirth",multimodal characterization of older apoe2 carriers reveals selective reduction of amyloid load,Multimodal characterization of older APOE2 carriers reveals selective reduction of amyloid load,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000003585
463,dimensions,"pascale richard, capucine trollet, tanya stojkovic, alix de becdelievre, sophie perie, jean pouget, bruno eymard, ",correlation between pabpn1 genotype and disease severity in oculopharyngeal muscular dystrophy,Correlation between PABPN1 genotype and disease severity in oculopharyngeal muscular dystrophy,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000003554
464,dimensions,"laura m tormoehlen, ashley d blatsioris, elizabeth a s moser, ravan j l carter, alec stevenson, susan ofner, abigail l hulin, darren p o'neill, aaron a cohen-gadol, thomas j leipzig, linda s williams, jason mackey",disparities and guideline adherence in drugs of abuse screening in intracerebral hemorrhage,Disparities and guideline adherence in drugs of abuse screening in intracerebral hemorrhage,neurology,"11 medical and health sciences, 1117 public health and health services",2017,10.1212/wnl.0000000000003505
465,dimensions,"miriam j smith, naomi l bowers, michael bulman, carolyn gokhale, andrew j wallace, andrew t king, simon k l lloyd, scott a rutherford, charlotte l hammerbeck-ward, simon r freeman, d gareth evans",revisiting neurofibromatosis type 2 diagnostic criteria to exclude lztr1 related schwannomatosis,Revisiting neurofibromatosis type 2 diagnostic criteria to exclude LZTR1-related schwannomatosis,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000003418
466,dimensions,"benjamin gardner, lee smith, louise mansfield",how did the public respond to the 2015 expert consensus public health guidance statement on workplace sedentary behaviour a qualitative analysis,How did the public respond to the 2015 expert consensus public health guidance statement on workplace sedentary behaviour? A qualitative analysis,bmc public health,"11 medical and health sciences, 1117 public health and health services",2017,10.1186/s12889-016-3974-0
467,dimensions,"oscar miro, pablo burbano, colin a graham, david c cone, james ducharme, anthony f t brown, francisco javier martin-sanchez",analysis of h index and other bibliometric markers of productivity and repercussion of a selected sample of worldwide emergency medicine researchers,Analysis of h-index and other bibliometric markers of productivity and repercussion of a selected sample of worldwide emergency medicine researchers,emergency medicine journal,"11 medical and health sciences, 1103 clinical sciences, 1110 nursing, 1117 public health and health services",2017,10.1136/emermed-2016-205893
468,dimensions,"sara k. yeo, xuan liang, dominique brossard, kathleen m. rose, kaine korzekwa, dietram a. scheufele, michael a. xenos",the case of arseniclife blogs and twitter in informal peer review,The case of #arseniclife: Blogs and Twitter in informal peer review,public understanding of science,"13 education, 1302 curriculum and pedagogy, 19 studies in creative arts and writing, 1903 journalism and professional writing, 22 philosophy and religious studies, 2202 history and philosophy of specific fields",2017,10.1177/0963662516649806
469,dimensions,"armen yuri gasparyan, bekaidar nurmashev, marlen yessirkepov, elena e. udovik, aleksandr a. baryshnikov, george d. kitas",the journal impact factor moving toward an alternative and combined scientometric approach,The Journal Impact Factor: Moving Toward an Alternative and Combined Scientometric Approach,journal of korean medical science,"17 psychology and cognitive sciences, 1701 psychology",2017,10.3346/jkms.2017.32.2.173
470,dimensions,"eeeln h. buckarma, cornelius a. thiels, becca l. gas, daniel cabrera, juliane bingener-casey, david r. farley",influence of social media on the dissemination of a traditional surgical research article,Influence of Social Media on the Dissemination of a Traditional Surgical Research Article,journal of surgical education,"11 medical and health sciences, 1117 public health and health services",2017,10.1016/j.jsurg.2016.06.019
471,dimensions,"lutz bornmann, robin haunschild",does evaluative scientometrics lose its main focus on scientific quality by the new orientation towards societal impact,Does evaluative scientometrics lose its main focus on scientific quality by the new orientation towards societal impact?,scientometrics,"16 studies in human society, 1608 sociology",2017,10.1007/s11192-016-2200-2
472,dimensions,"paul mckenna, brent thoma, ken milne, chris bond",sgem hot off the press ultrasound during critical care simulation a randomized crossover study,SGEM Hot Off the Press: ultrasound during critical care simulation: a randomized crossover study,canadian journal of emergency medicine,"11 medical and health sciences, 1117 public health and health services",2017,10.1017/cem.2016.380
473,dimensions,"esther marin-gonzalez, davide malmusi, lluis camprubi, carme borrell",the role of dissemination as a fundamental part of a research project,The Role of Dissemination as a Fundamental Part of a Research Project,international journal of health services,"11 medical and health sciences, 1117 public health and health services",2017,10.1177/0020731416676227
474,dimensions,"scott w. powers, christopher s. coffey, leigh a. chamberlin, dixie j. ecklund, elizabeth a. klingner, jon w. yankey, leslie l. korbee, linda l. porter, andrew d. hershey",trial of amitriptyline topiramate and placebo for pediatric migraine,"Trial of Amitriptyline, Topiramate, and Placebo for Pediatric Migraine",new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2017,10.1056/nejmoa1610384
475,dimensions,"robin haunschild, lutz bornmann",how many scientific papers are mentioned in policy related documents an empirical investigation using web of science and altmetric data,How many scientific papers are mentioned in policy-related documents? An empirical investigation using Web of Science and Altmetric data,scientometrics,"16 studies in human society, 1605 policy and administration",2017,10.1007/s11192-016-2237-2
476,dimensions,"peter wittek, sandor daranyi, gustaf nelhans",ruling out static latent homophily in citation networks,Ruling out static latent homophily in citation networks,scientometrics,"08 information and computing sciences, 0807 library and information studies, 16 studies in human society, 1605 policy and administration",2017,10.1007/s11192-016-2194-9
477,dimensions,"kim madden, nathan evaniew, taryn scott, elena domazetoska, pritnek dosanjh, chuan silvia li, lehana thabane, mohit bhandari, sheila sprague",knowledge dissemination of intimate partner violence intervention studies measured using alternative metrics results from a scoping review,Knowledge Dissemination of Intimate Partner Violence Intervention Studies Measured Using Alternative Metrics: Results From a Scoping Review,journal of interpersonal violence,"16 studies in human society, 1602 criminology, 1607 social work, 17 psychology and cognitive sciences, 1701 psychology",2019,10.1177/0886260516657914
478,dimensions,"maitane caballero-puntiverio, ciaran martin fitzpatrick, david pd woldbye, jesper tobias andreasen",effects of amphetamine and methylphenidate on attentional performance and impulsivity in the mouse 5 choice serial reaction time task,Effects of amphetamine and methylphenidate on attentional performance and impulsivity in the mouse 5-Choice Serial Reaction Time Task,journal of psychopharmacology,"17 psychology and cognitive sciences, 1701 psychology",2017,10.1177/0269881116684339
479,dimensions,francesca lake,welcome to volume 3 of future science oa,Welcome to volume 3 of Future Science OA,future science oa,"03 chemical sciences, 0306 physical chemistry (incl. structural)",2017,10.4155/fsoa-2016-0075
480,dimensions,"nicola di girolamo, reint meursinge reynders",health care articles with simple and declarative titles were more likely to be in the altmetric top 100,Health care articles with simple and declarative titles were more likely to be in the Altmetric Top 100,journal of clinical epidemiology,"11 medical and health sciences, 1117 public health and health services",2017,10.1016/j.jclinepi.2016.11.018
481,dimensions,sankeetha nadarajah,welcome to volume 9 of bioanalysis,Welcome to volume 9 of Bioanalysis,bioanalysis,"03 chemical sciences, 0301 analytical chemistry, 11 medical and health sciences, 1115 pharmacology and pharmaceutical sciences",2017,10.4155/bio-2016-4983
482,dimensions,"hannah hughes, andrew hughes, colin murphy",the use of twitter by trauma and orthopaedic surgery journals twitter activity impact factor and alternative metrics,"The Use of Twitter by Trauma and Orthopaedic Surgery Journals: Twitter Activity, Impact Factor, and Alternative Metrics",cureus,"11 medical and health sciences, 1103 clinical sciences",2017,10.7759/cureus.1931
483,dimensions,"katherine e a semrau, lisa r hirschhorn, megan marx delaney, vinay p singh, rajiv saurastri, narender sharma, danielle e tuller, rebecca firestone, stuart lipsitz, neelam dhingra-kumar, bhalachandra s kodkany, vishwajeet kumar, atul a gawande",outcomes of a coaching based who safe childbirth checklist program in india,Outcomes of a Coaching-Based WHO Safe Childbirth Checklist Program in India,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine, 1117 public health and health services",2017,10.1056/nejmoa1701075
484,dimensions,"stephen j schuster, jakub svoboda, elise a chong, sunita d nasta, anthony r mato, ozlem anak, jennifer l brogdon, iulian pruteanu-malinici, vijay bhoj, daniel landsburg, mariusz wasik, bruce l levine, simon f lacey, jan j melenhorst, david l porter, carl h june",chimeric antigen receptor t cells in refractory b cell lymphomas,Chimeric Antigen Receptor T Cells in Refractory B-Cell Lymphomas,new england journal of medicine,"11 medical and health sciences, 1107 immunology",2017,10.1056/nejmoa1708566
